emisor,receptor,Fi
UrgLc8xE+SFaa4tnG5DsQQ==,AaF9igyV0h/q8dpZo9rJrg==,1.0
pz/ziqiD5uz4tpa9sq5wzA==,jQZMX1akk5R+/q6gnXJkBA==,1.0
UrgLc8xE+SFaa4tnG5DsQQ==,NE3RTDcWkhBInCQktP/y6A==,0.486
pz/ziqiD5uz4tpa9sq5wzA==,Jn46LZRg9mBct7sSJU5aKQ==,1.0
pz/ziqiD5uz4tpa9sq5wzA==,MNZiC9ymn+NyhCNcg4kwSg==,1.0
QRklt8uKz+ftFAUUQSca3w==,tPyknZeetd5/ifv8VzXUAQ==,0.71785
BLv2c4IJ7q8LfT7tOrvWbw==,tPyknZeetd5/ifv8VzXUAQ==,0.59405
s3vLhvjbvsmLYK5UGTEPFg==,tPyknZeetd5/ifv8VzXUAQ==,0.5205
pz/ziqiD5uz4tpa9sq5wzA==,aGpnCd2RZW0zy9+QHrR2eA==,1.0
QRklt8uKz+ftFAUUQSca3w==,jqqGqcYp7wVLxP/tZ+LrmQ==,0.80365
UrgLc8xE+SFaa4tnG5DsQQ==,QwIzcD4FGokDfQwpxkGAjQ==,0.1525
pz/ziqiD5uz4tpa9sq5wzA==,jciyLVpzbi8PBpe+3ZdfSw==,1.0
UrgLc8xE+SFaa4tnG5DsQQ==,VDf4s2ePy2KE5tlADk37Xg==,0.4962
UrgLc8xE+SFaa4tnG5DsQQ==,hm5/22Z3UFb3WtHG+TJxgA==,0.9999
UrgLc8xE+SFaa4tnG5DsQQ==,bGdx8QSQ+CMt8Ev1qXXnQg==,0.9965
pz/ziqiD5uz4tpa9sq5wzA==,n01RUoiaos1LfACs4Os2Xw==,1.0
QRklt8uKz+ftFAUUQSca3w==,FpWHLSyEHbWx/M/xrwl9JA==,0.8048500000000001
jqqGqcYp7wVLxP/tZ+LrmQ==,FpWHLSyEHbWx/M/xrwl9JA==,0.50025
UrgLc8xE+SFaa4tnG5DsQQ==,jLBUdHS1eCDwBAL7CX25qA==,0.4934
ctnuTkY3bNmZUNV5SEAHHg==,qOdDnBLraBE3r92cIW+w7w==,0.5581
QRklt8uKz+ftFAUUQSca3w==,qOdDnBLraBE3r92cIW+w7w==,0.5568
FpWHLSyEHbWx/M/xrwl9JA==,qOdDnBLraBE3r92cIW+w7w==,0.58705
BLv2c4IJ7q8LfT7tOrvWbw==,qOdDnBLraBE3r92cIW+w7w==,0.5596
jqqGqcYp7wVLxP/tZ+LrmQ==,qOdDnBLraBE3r92cIW+w7w==,0.65015
tPyknZeetd5/ifv8VzXUAQ==,qOdDnBLraBE3r92cIW+w7w==,0.58805
UrgLc8xE+SFaa4tnG5DsQQ==,1rFCL+mhulD1QjFR1YunSg==,0.8922
UrgLc8xE+SFaa4tnG5DsQQ==,PV50xbkWOuTJqLfuFRuQIw==,0.9912
BLv2c4IJ7q8LfT7tOrvWbw==,WHjl9mOAzKJLfzG0NjSS3Q==,0.3464
pz/ziqiD5uz4tpa9sq5wzA==,curPprQNZ06pxQjCFy2PkQ==,0.7523
pz/ziqiD5uz4tpa9sq5wzA==,TX3REYWOFVHpMCQIOhQVgA==,0.9436
UrgLc8xE+SFaa4tnG5DsQQ==,IegqqkopgpZQFXemNk/C3g==,0.9995
BLv2c4IJ7q8LfT7tOrvWbw==,QRklt8uKz+ftFAUUQSca3w==,0.84135
s3vLhvjbvsmLYK5UGTEPFg==,QRklt8uKz+ftFAUUQSca3w==,0.65595
UrgLc8xE+SFaa4tnG5DsQQ==,vbSv/nBdLNj69BRFrVeEjg==,0.9645
UrgLc8xE+SFaa4tnG5DsQQ==,AD6SdQDQ1zbqQrCvA1KDOQ==,0.9983
s3vLhvjbvsmLYK5UGTEPFg==,6zZTfsuWqgEp31l0uJdo3w==,0.8154
WHjl9mOAzKJLfzG0NjSS3Q==,0M31gGkxMjmFBvxA0YmyRw==,0.02
BLv2c4IJ7q8LfT7tOrvWbw==,0M31gGkxMjmFBvxA0YmyRw==,0.2873
FpWHLSyEHbWx/M/xrwl9JA==,ctnuTkY3bNmZUNV5SEAHHg==,0.1497
jqqGqcYp7wVLxP/tZ+LrmQ==,ctnuTkY3bNmZUNV5SEAHHg==,0.21285
tPyknZeetd5/ifv8VzXUAQ==,ctnuTkY3bNmZUNV5SEAHHg==,0.1374
UrgLc8xE+SFaa4tnG5DsQQ==,q0CURftUq4OUl47Rr+FRhw==,0.9994
pz/ziqiD5uz4tpa9sq5wzA==,pz/ziqiD5uz4tpa9sq5wzA==,0.5392
pz/ziqiD5uz4tpa9sq5wzA==,B3DxUabgAxjgTbFmVgcB4A==,1.0
BLv2c4IJ7q8LfT7tOrvWbw==,ftQmz2TwwwkO7H4/jHI/Jg==,0.4999
